index,DataSent,DataReceived,DataProcessed,DataSaved,PacketLength
1,2019-07-11T17:26:06.303620,1562858766.29957,1562858766.76316,1562858768.56176,826
2,2019-07-11T17:26:34.676214,1562858794.70901,1562858794.79703,1562858796.52982,1130
3,2019-07-11T17:27:03.049389,1562858823.04424,1562858823.13599,1562858824.96589,1162
4,2019-07-11T17:27:31.442088,1562858851.46424,1562858851.54983,1562858853.24788,1292
5,2019-07-11T17:27:59.796512,1562858879.82082,1562858879.91161,1562858881.7531,1066
6,2019-07-11T17:28:28.169854,1562858908.16442,1562858908.2551,1562858909.99665,730
7,2019-07-11T17:28:56.544021,1562858936.56452,1562858936.65964,1562858938.36027,762
8,2019-07-11T17:29:24.944306,1562858964.96427,1562858965.05164,1562858966.76714,748
9,2019-07-11T17:29:53.292035,1562858993.28747,1562858993.38115,1562858995.16837,746
10,2019-07-11T17:30:21.666312,1562859021.66183,1562859021.76544,1562859023.49837,746
