index,DataSent,DataReceived,DataProcessed,DataSaved,PacketLength
1,2019-07-11T17:46:16.494031,1562859976.47566,1562859976.94768,1562859977.30759,1186
2,2019-07-11T17:46:20.289560,1562859980.27092,1562859980.37877,1562859980.69351,1186
3,2019-07-11T17:46:24.058624,1562859984.0399,1562859984.12753,1562859984.45912,1074
4,2019-07-11T17:46:27.841417,1562859987.82357,1562859987.91612,1562859988.22428,1186
5,2019-07-11T17:46:31.648375,1562859991.62932,1562859991.73052,1562859991.9945,1138
6,2019-07-11T17:46:35.406314,1562859995.4123,1562859995.49541,1562859995.76905,1074
7,2019-07-11T17:46:39.190354,1562859999.27783,1562859999.3721,1562859999.72468,1186
8,2019-07-11T17:46:42.972604,1562860002.95592,1562860003.04667,1562860003.40741,1186
9,2019-07-11T17:46:46.755174,1562860006.81313,1562860006.90756,1562860007.20659,1170
10,2019-07-11T17:46:50.546981,1562860010.53156,1562860010.63129,1562860010.97198,1154
11,2019-07-11T17:46:54.320419,1562860014.30085,1562860014.3862,1562860014.75395,1154
12,2019-07-11T17:46:58.102598,1562860018.08393,1562860018.18944,1562860018.46782,1106
13,2019-07-11T17:47:01.906690,1562860021.88822,1562860021.97089,1562860022.27921,1170
