seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
28381.0,32523.0,15838.0,14394.0,-15096.0,-690.0,5951.0,66.0,170.0,24,M,2,2019-06-17T15:59:57.767609
29941.0,32524.0,15990.0,14481.0,-15546.0,-648.0,5936.0,66.0,170.0,24,M,2,2019-06-17T15:59:58.333285
29890.0,33557.0,15962.0,14489.0,-15894.0,-762.0,6040.0,66.0,170.0,24,M,2,2019-06-17T15:59:58.903092
29791.0,33192.0,15815.0,14531.0,-15980.0,-667.0,6079.0,66.0,170.0,24,M,2,2019-06-17T15:59:59.468338
29838.0,33113.0,15698.0,14381.0,-16024.0,-736.0,6284.0,66.0,170.0,24,M,2,2019-06-17T16:00:00.039274
29877.0,32098.0,15771.0,14402.0,-15983.0,-652.0,6166.0,66.0,170.0,24,M,2,2019-06-17T16:00:00.603239
29943.0,32214.0,15818.0,14400.0,-16016.0,-669.0,6448.0,66.0,170.0,24,M,2,2019-06-17T16:00:01.174974
29962.0,32218.0,15835.0,14398.0,-16089.0,-771.0,6049.0,66.0,170.0,24,M,2,2019-06-17T16:00:01.738324
30048.0,32085.0,15915.0,14253.0,-16162.0,-719.0,6241.0,66.0,170.0,24,M,2,2019-06-17T16:00:02.310704
30607.0,32184.0,15869.0,14305.0,-16206.0,-716.0,6499.0,66.0,170.0,24,M,2,2019-06-17T16:00:02.872867
30252.0,32217.0,15896.0,14268.0,-16139.0,-760.0,6338.0,66.0,170.0,24,M,2,2019-06-17T16:00:03.446421
30471.0,32256.0,15863.0,14295.0,-16191.0,-785.0,6395.0,66.0,170.0,24,M,2,2019-06-17T16:00:04.008046
30232.0,33013.0,15970.0,14328.0,-16165.0,-737.0,6084.0,66.0,170.0,24,M,2,2019-06-17T16:00:04.582190
30718.0,33595.0,16069.0,14375.0,-16158.0,-809.0,6119.0,66.0,170.0,24,M,2,2019-06-17T16:00:05.143237
30896.0,36638.0,16172.0,14543.0,-15378.0,-725.0,6030.0,66.0,170.0,24,M,2,2019-06-17T16:00:05.717806
29977.0,37661.0,15987.0,14547.0,-15103.0,-730.0,5682.0,66.0,170.0,24,M,2,2019-06-17T16:00:06.278297
30382.0,36583.0,15914.0,14542.0,-15290.0,-668.0,5940.0,66.0,170.0,24,M,2,2019-06-17T16:00:06.853240
30593.0,36231.0,15903.0,14471.0,-15426.0,-717.0,5901.0,66.0,170.0,24,M,2,2019-06-17T16:00:07.413144
30722.0,35842.0,15918.0,14405.0,-15576.0,-614.0,6043.0,66.0,170.0,24,M,2,2019-06-17T16:00:07.989033
30374.0,32391.0,15997.0,14305.0,-15807.0,-643.0,6309.0,66.0,170.0,24,M,2,2019-06-17T16:00:08.548057
-14591.0,765.0,7804.0,801.0,-15051.0,-6701.0,2050.0,73.0,171.0,26,M,2,2019-06-17T17:46:07.132048
-14276.0,993.0,7294.0,254.0,-15198.0,-6711.0,2153.0,73.0,171.0,26,M,2,2019-06-17T17:46:07.651937
-15960.0,1352.0,15612.0,363.0,-13655.0,-6744.0,426.0,73.0,171.0,26,M,2,2019-06-17T17:46:08.219443
-12379.0,4873.0,10065.0,834.0,-15264.0,-6771.0,1400.0,73.0,171.0,26,M,2,2019-06-17T17:46:08.787180
-16367.0,-737.0,7430.0,984.0,-15090.0,-6816.0,-472.0,73.0,171.0,26,M,2,2019-06-17T17:46:09.354752
-18083.0,3676.0,8674.0,6092.0,-15924.0,-6729.0,1144.0,73.0,171.0,26,M,2,2019-06-17T17:46:09.922434
-18310.0,-7782.0,11310.0,13992.0,-14243.0,-6642.0,1362.0,73.0,171.0,26,M,2,2019-06-17T17:46:10.490147
-21599.0,10818.0,17870.0,255.0,-15568.0,-6756.0,6181.0,73.0,171.0,26,M,2,2019-06-17T17:46:11.057092
-16538.0,-1375.0,8958.0,1626.0,-17110.0,-6748.0,685.0,73.0,171.0,26,M,2,2019-06-17T17:46:11.625365
